rooms,age,bath,neighborhood,aparment_floor,view,bedrooms,expenses,floor,nbr_floors,covered area,total_area,type,address,price
1.0,0 años,1.0,Barrio Norte - Capital Federal,,Frente,,5400.0,,1.0,38.0,43.0,,Aguero Al 1500,18000
1.0,,1.0,Palermo Hollywood - Capital Federal,,,,,,,32.0,50.0,,Fitz Roy 1427,1232
1.0,40 años,1.0,Núñez - Capital Federal,,Contrafrente,,,,1.0,22.0,22.0,,"Pico Al 1700, Entre 3 De Febrero Y Vías",9500
1.0,40 años,1.0,Floresta - Capital Federal,,Frente,,1600.0,5.0,7.0,26.0,26.0,Monoambiente,Sanabria  691,12000
1.0,50 años,1.0,Recoleta - Capital Federal,4.0,Interno,,1200.0,5.0,9.0,26.0,26.0,Departamento,French 3000,12000
1.0,1 años,1.0,Versalles - Capital Federal,,,,,,,31.0,38.0,Departamento,Elpidio González 5350,13000
1.0,7 años,1.0,Villa Urquiza - Capital Federal,,Contrafrente,,,,,35.0,35.0,Departamento,P I Rivera  Al 4800,12000
1.0,3 años,1.0,Monte Castro - Capital Federal,,Contrafrente,,,,,,,,Mercedes Al 2100,9600
1.0,1 años,1.0,Balvanera - Capital Federal,,Frente,,1500.0,,,33.0,37.0,,Saavedra Al 600,11000
1.0,3 años,1.0,Núñez - Capital Federal,,Contrafrente,,6500.0,,14.0,44.0,48.0,Departamento,Av Libertador Al 7700,18000
1.0,40 años,1.0,Villa Crespo - Capital Federal,,Lateral,,1700.0,,,26.0,,,Gurruchaga Al 800,9000
