Ambientes,Antigüedad,Baños,Bodegas,Cocheras,Departamentos por piso,Disposición,Dormitorios,Expensas,Orientación,Piso (unidad),Pisos,Superficie cubierta,Superficie total,Tipo de departamento,address,neighborhood,price
1,0 años,1,,,,Frente,,2000,Sur,,,26,30,,Av. Garay 635 5º B ( Chacabuco - Perú),San Telmo - Capital Federal,10500
1,0 años,1,,,3,Contrafrente,,2100,,,7,30,30,Departamento,Quito Al 3700,Almagro - Capital Federal,9000
1,10 años,1,,,4,Contrafrente,,3800,,,7,34,39,Departamento,Fernandez Al 200,Parque Avellaneda - Capital Federal,7000
1,0 años,1,,,,Frente,,2200,,,,32,37,,Av Avellaneda Al 1000,Caballito - Capital Federal,10500
1,2 años,1,,,,Contrafrente,,4100,Norte,,1,41,47,,"Deheza Al 3100 - 4º Piso ""c""",Saavedra - Capital Federal,11000
1,50 años,1,,,2,Lateral,,2500,,,6,25,25,Departamento,Junin Al 1300,Barrio Norte - Capital Federal,7900
1,1 años,1,,,,Contrafrente,,,,,,36,36,,Granaderos Al 600,Flores - Capital Federal,9800
1,1 años,1,,1,1,Frente,,4655,,6,6,30,456,Departamento,Nogoya 3815,Monte Castro - Capital Federal,10500
1,50 años,1,,,4,Interno,,1200,,5,9,26,26,Departamento,French 3000,Barrio Norte - Capital Federal,12000
1,0 años,1,,,,Frente,,1200,,,,37,42,,Brandsen Al 1100,La Boca - Capital Federal,10500
1,0 años,1,,,,Frente,,2500,Este,,,,,,Malvinas Argentinas Al 800,Parque Chacabuco - Capital Federal,12000
1,0 años,1,,,,Frente,,4100,,,,32,32,,Peru Al 1100,San Telmo - Capital Federal,16000
1,,1,,,,Frente,,2300,,,,38,36,Departamento,Mario Bravo 1100,Palermo - Capital Federal,12000
1,40 años,1,,,4,Frente,,3000,,5,10,35,35,Monoambiente,Avenida Córdoba 873,Recoleta - Capital Federal,9000
1,0 años,1,,1,,Lateral,,4500,,,3,38,45,,Malabia Al 1900,Palermo - Capital Federal,16000
1,6 años,1,,,,Contrafrente,,1994,Oeste,,,30,32,,Corrientes Al 6100,Villa Crespo - Capital Federal,10000
1,,1,,,,,,2800,,,,30,30,,Esmeralda 500,San Nicolás - Capital Federal,13000
1,20 años,1,,,,Contrafrente,,1290,,,,35,35,Departamento,Ciudad De La Paz Al 3700,Núñez - Capital Federal,11500
2,50 años,1,,,,Frente,,3990,Sur,,10,53,66,,Maipú Al 300 Entre Av Corrientes Y Sarmiento,San Nicolás - Capital Federal,11000
,0 años,,,,,,,,,,,90,90,,Del Barco Centenera  Entre Chilavert Y Pasos Barros,Nueva Pompeya - Capital Federal,20000
1,5 años,1,,,,Frente,,3000,,,,27,40,,Olazabal Al 3000,Belgrano - Capital Federal,11000
1,5 años,1,,,,Frente,,3000,,,,27,40,,Olazabal Al 3000,Belgrano - Capital Federal,11000
1,6 años,1,,,,Frente,,2050,,,,32,36,,Vallejos Al 3200,Villa Pueyrredón - Capital Federal,9000
1,0 años,1,,1,,Frente,,3000,,,,37,49,Departamento,Moldes Al 2800,Belgrano - Capital Federal,18000
,45 años,1,,,,Lateral,,800,,,,24,24,,Ricardo Guitierrez Al 3700,Villa Devoto - Capital Federal,7800
1,2 años,1,,1,,Contrafrente,,5000,Norte,,1,40,45,,Palpa Al 2468,Belgrano - Capital Federal,14000
1,0 años,1,,,2,Contrafrente,,3000,,,4,37,49,Departamento,Moldes Al 2800,Belgrano - Capital Federal,16000
1,10 años,1,,,,Frente,,3400,,,,,,,Dorrego Al 1600,Palermo Hollywood - Capital Federal,11000
1,6 años,1,,,5,Frente,,2000,Oeste,7,7,32,36,Departamento,Rafaela 3771,Floresta - Capital Federal,8500
1,1 años,1,,1,1,Frente,,4655,,6,6,30,456,Departamento,Nogoya 3815,Villa Devoto - Capital Federal,10500
1,38 años,,,,,Contrafrente,,2400,Sur,,1,30,30,,Juana Azurduy Al 2100,Núñez - Capital Federal,10500
1,0 años,1,,1,,,,6000,,,,40,40,,Amenabar 50,Palermo Hollywood - Capital Federal,23000
1,9 años,1,,,,Contrafrente,,2500,Sur,,,33,,,Tomas Le Breton 4500,Belgrano - Capital Federal,14000
1,40 años,1,,,,Frente,,1500,,,,22,25,,"Yerbal 900, 2 E",Caballito - Capital Federal,8500
1,1 años,1,,1,1,Frente,,4655,,6,6,30,456,Departamento,Nogoya 3815,Villa Del Parque - Capital Federal,10500
1,0 años,1,,,,Contrafrente,,3222,,,,32,35,Departamento,Av.del Libertador Al 6800,Núñez - Capital Federal,11800
1,0 años,1,,,,Frente,,,,,,28,28,Departamento,Manzoni Al 100,Villa Luro - Capital Federal,8500
3,2 años,1,,1,,Frente,,3400,,,,60,62,,Camarones  Entre Nazca  Y Argerich,Santa Rita - Capital Federal,18000
1,6 años,1,,,,Contrafrente,,2000,,,,45,48,Monoambiente,Brandsen 1700,Barracas - Capital Federal,12000
1,25 años,1,,,3,Frente,,3500,,,9,28,31,Departamento,Cespedes Al 2400,Belgrano - Capital Federal,9500
1,40 años,1,,,,Contrafrente,,2000,Oeste,,15,,,,Av. Cabildo Al 2000,Belgrano - Capital Federal,11000
1,6 años,1,,,,Contrafrente,,3400,Norte,,1,44,48,,Roosevelt Al 1500,Belgrano - Capital Federal,14000
1,65 años,1,,,,Interno,,2500,,,,29,29,Departamento,Marcelo T De Alvear Al 400,Retiro - Capital Federal,9000
2,40 años,1,,,,Lateral,,,,,,,38,,Franklin Al 2000,Flores - Capital Federal,9800
1,0 años,1,,,,,,7000,,,,39,45,,Amenabar 50,Palermo Hollywood - Capital Federal,1000
2,0 años,1,,,2,Frente,,3400,,,9,44,48,Departamento,Republica De Eslovenia Al 1800,Las Cañitas - Capital Federal,20000
1,0 años,1,,,,Frente,,,Norte,,13,53,61,,Santa Fe 2882 10 07,Recoleta - Capital Federal,35000
1,0 años,1,,,,Frente,,,Norte,,13,74,97,,Santa Fe 2882 1011,Recoleta - Capital Federal,1800
1,0 años,1,,,,Frente,,,Norte,,13,53,61,,Santa Fe 2882 9 07,Recoleta - Capital Federal,35000
1,2 años,1,,,,Lateral,,1900,Norte,,1,29,29,,Calderon De La Barca Al 1300,Monte Castro - Capital Federal,8300
1,0 años,1,,,,Frente,,,Norte,,13,62,124,,Santa Fe 2882 12 10,Recoleta - Capital Federal,1500
1,0 años,1,,,,Frente,,,Norte,,13,49,72,,Santa Fe 2882 1012,Recoleta - Capital Federal,38000
1,0 años,1,,,,Frente,,,Norte,,13,54,69,,Santa Fe 2882 13 11,Recoleta - Capital Federal,1100
1,0 años,1,,,,Frente,,,Norte,,13,49,72,,Santa Fe 2882 1012,Recoleta - Capital Federal,1000
1,5 años,1,,1,,Frente,,4900,Norte,,1,,38,,Godoy Cruz Al 2300,Palermo Soho - Capital Federal,12900
1,0 años,1,,,,,,,,,,39,39,Departamento,Bartolome Mitre  Al 2000,Congreso - Capital Federal,15000
,10 años,1,,,,Contrafrente,,1400,,,,22,,,Carrasco Al 700,Velez Sarsfield - Capital Federal,7500
1,0 años,1,,,,Frente,,5400,,,1,38,43,,Aguero Al 1500,Barrio Norte - Capital Federal,18000
1,,1,,,,,,,,,,32,50,,Fitz Roy 1427,Palermo Hollywood - Capital Federal,1232
1,40 años,1,,,,Contrafrente,,,Oeste,,1,22,22,,"Pico Al 1700, Entre 3 De Febrero Y Vías",Núñez - Capital Federal,9500
1,40 años,1,,,,Frente,,1600,Norte,5,7,26,26,Monoambiente,Sanabria  691,Floresta - Capital Federal,12000
1,50 años,1,,,4,Interno,,1200,,5,9,26,26,Departamento,French 3000,Recoleta - Capital Federal,12000
1,1 años,1,,1,,,,,,,,31,38,Departamento,Elpidio González 5350,Versalles - Capital Federal,13000
1,7 años,1,,,,Contrafrente,,,,,,35,35,Departamento,P I Rivera  Al 4800,Villa Urquiza - Capital Federal,12000
1,3 años,1,,,,Contrafrente,,,Oeste,,,,,,Mercedes Al 2100,Monte Castro - Capital Federal,9600
1,1 años,1,,1,,Frente,,1500,Oeste,,,33,37,,Saavedra Al 600,Balvanera - Capital Federal,11000
1,3 años,1,,1,,Contrafrente,,6500,,,14,44,48,Departamento,Av Libertador Al 7700,Núñez - Capital Federal,18000
1,40 años,1,,,,Lateral,,1700,,,,26,,,Gurruchaga Al 800,Villa Crespo - Capital Federal,9000
1,5 años,1,,,,Contrafrente,,2200,,,,34,35,,Godoy Cruz Al 1300,Palermo - Capital Federal,11000
1,7 años,1,,,4,Frente,,1150,,,6,22,25,Departamento,Emilio Lamarca Al 1600,Monte Castro - Capital Federal,9000
1,,1,,,,,,,,,,36,45,,Bauness 1981,Villa Urquiza - Capital Federal,12500
1,0 años,1,,,4,Contrafrente,,1450,,,8,36,41,Departamento,José Cubas Al 3600,Villa Devoto - Capital Federal,11000
1,1 años,1,,1,,,,,,,,31,38,Departamento,Elpidio González 5350,Villa Luro - Capital Federal,13000
1,0 años,1,,,,Frente,,4300,Este,,,35,38,,Pringles Al 400,Almagro - Capital Federal,12000
1,7 años,1,,,6,Contrafrente,,2300,,,3,25,36,Departamento,Tomas Le Breton Al 4500,Coghlan - Capital Federal,15000
1,0 años,1,,1,,Lateral,,4500,,,3,38,81,,Malabia Al 1900,Palermo - Capital Federal,21000
1,2 años,1,,,,Frente,,3600,Norte,,4,40,40,Departamento,Donado 2000,Villa Urquiza - Capital Federal,13000
1,0 años,1,,,,Frente,,,Norte,,,50,53,,Uriburu Y Peron - 6°a,Balvanera - Capital Federal,16000
1,3 años,1,,,,Frente,,,Norte,,,32,34,,Dorrego Al 2200,Palermo Hollywood - Capital Federal,20000
1,8 años,1,,,,Contrafrente,,7900,Oeste,,1,37,38,,Soldado De La Independencia Al 1100 (lacroze Y Olleros),Las Cañitas - Capital Federal,10000
1,6 años,1,,1,,Contrafrente,,3400,Norte,,1,44,48,,Roosevelt Al 1500,Núñez - Capital Federal,15500
1,0 años,1,,,,,,3410,,,,20,20,Departamento,Ayacuho  Al 2000,Recoleta - Capital Federal,8500
,0 años,2,,,,,,6518,,,,85,85,,Paraguay Al 600,Capital Federal,18000
1,0 años,1,,7,,Frente,,2500,Sur,,,31,34,,Estados Unidos Al 2300,San Cristóbal - Capital Federal,10000
3,0 años,1,,,,Frente,,,Este,,2,55,55,,Homero Entre Rodó Y Chascomús,Mataderos - Capital Federal,16000
1,0 años,1,,,,Contrafrente,,2280,,,,,35,,Av Del Libertador Al 6200,Belgrano - Capital Federal,16000
1,0 años,1,,1,,Frente,,5600,Sur,,,28,34,,Studios -roosevelt Al 2100 - Piso 1 Uf 12- Belgrano,Belgrano C - Capital Federal,14000
